s19,s18,s17,s16,s15,s14,s13,s12,s11,s10,s9,s8,s7,s6,s5,s4,s3,s2,s1,l1,l2,l3,l4
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,not dropped,not dropped
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,not dropped,not dropped,NA,not dropped,not dropped
drop,drop,drop,drop,drop,drop,drop,NA,drop,drop,drop,drop,drop,drop,drop,drop,drop,not dropped,drop,drop,drop,drop,drop
not dropped,drop,drop,drop,drop,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
not dropped,drop,not dropped,not dropped,drop,NA,drop,NA,drop,NA,drop,drop,drop,drop,drop,drop,NA,drop,drop,drop,NA,drop,drop
not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,drop,not dropped,drop,not dropped,not dropped,not dropped,not dropped
not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,NA,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
not dropped,drop,drop,drop,drop,not dropped,not dropped,not dropped,NA,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
not dropped,drop,not dropped,drop,not dropped,drop,not dropped,drop,not dropped,drop,not dropped,not dropped,drop,NA,drop,not dropped,not dropped,drop,drop,drop,NA,drop,drop
not dropped,drop,drop,drop,drop,drop,not dropped,drop,not dropped,drop,not dropped,not dropped,drop,drop,drop,not dropped,drop,drop,drop,drop,not dropped,drop,drop
drop,drop,drop,not dropped,drop,drop,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,NA,not dropped,not dropped,drop,not dropped,not dropped,not dropped,not dropped,drop,not dropped
drop,drop,drop,drop,drop,drop,drop,NA,NA,drop,not dropped,not dropped,drop,drop,drop,not dropped,not dropped,drop,drop,drop,drop,drop,drop
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,not dropped
drop,drop,not dropped,drop,drop,not dropped,not dropped,NA,not dropped,drop,not dropped,not dropped,drop,drop,drop,not dropped,not dropped,drop,not dropped,not dropped,drop,drop,drop
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,not dropped,drop,drop,drop,drop
drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop,drop
drop,NA,drop,drop,drop,drop,not dropped,NA,NA,NA,NA,NA,drop,drop,NA,NA,NA,drop,not dropped,drop,drop,drop,drop
not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
not dropped,not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,NA,NA,not dropped,not dropped,not dropped,not dropped,drop,NA,not dropped,not dropped
drop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drop,NA,drop,NA,NA,drop,NA,not dropped,NA,NA,NA
not dropped,not dropped,not dropped,drop,drop,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped,NA,not dropped,drop,not dropped,not dropped,drop,drop,not dropped,drop
not dropped,NA,not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped,drop,drop,not dropped,drop
drop,NA,drop,drop,not dropped,NA,drop,NA,NA,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,drop,drop,drop,drop,drop,drop,drop
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
drop,NA,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped
drop,drop,drop,drop,drop,drop,NA,drop,NA,drop,drop,drop,drop,drop,drop,drop,not dropped,drop,drop,drop,drop,drop,drop
not dropped,drop,not dropped,drop,drop,not dropped,not dropped,NA,drop,not dropped,not dropped,not dropped,not dropped,NA,not dropped,not dropped,not dropped,not dropped,not dropped,not dropped,drop,not dropped,not dropped
